Teams,1x2
"Tanjong Pagar United FC
Tampines Rovers FC","12.00
6.20
1.16"
"Lion City Sailors FC
Albirex Niigata FC","2.30
3.20
2.80"
"Hang Yuen FC
Tainan City F.C.","4.70
3.10
1.70"
"Ming Chuan Univer.
Tatung FC","12.00
6.50
1.13"
"Nat. Taiwan Uni of Sp.
Taiwan Power C.","7.50
5.50
1.25"
"Taichung Futuro
Taipei Red Lions","1.13
6.50
12.00"
"Ratchaburi FC
Samut Prakan City","1.80
3.40
3.80"
"Muang Thong Utd
Nakhon Ratchasima","1.40
4.20
6.50"
"Sukhothai FC
Buriram United FC","3.00
3.70
1.95"
"Uthai Thani FC
Kasetsart FC","2.25
3.20
2.80"
"Samut Sakhon
Nakhon Pathom United FC","5.50
4.10
1.45"
"Sisaket FC
Khonkaen FC","1.95
3.30
3.40"
"Chiangmai United
Ayutthaya United","1.60
3.80
4.50"
"Malavan Bandar Anzali FC
Ghasghaei Shiraz","1.80
3.00
4.30"
"Arman Gohar Sirjan
Pars Jonoubi Jam","2.00
2.80
3.90"
"Rayka Babol FC
Esteghlal Mollasani","1.70
3.00
5.20"
"Havadar SC
Navad Urmia FC","2.25
2.60
3.50"
"Fajr Sepasi FC
Khosheh Talaei","2.80
2.70
2.60"
"Gol Reyhan
Sanat Mes Kerman FC","3.20
2.75
2.30"
"Shahin Bushehr FC
Shahrdari Astara","1.40
3.70
7.50"
"Esteghlal Khuz.
Baderan Tehran","1.70
3.00
5.20"
"Al-Duhail SC
Al Gharafa SC","1.45
4.10
5.70"
"Al Rayyan SC
Al Kharaitiyat SC","1.50
3.90
5.20"
"Al Arabi Doha SC
Al-sadd","12.00
7.00
1.12"
"Elmina Sharks
Liberty Professionals","1.75
3.20
4.40"
"King Faisal
Aduana Stars","2.80
3.10
2.30"
"Berekum Chelsea
Asante Kotoko","2.35
2.70
3.20"
"Dreams
Medeama SC","2.40
2.70
3.10"
"Karela FC
Inter Allies FC","1.75
3.20
4.40"
"Kagera Sugar
Mwadui FC","2.20
2.60
3.70"
"Young Africans SC
Namungo FC","1.50
3.60
6.00"
"Cape Town City FC
Bloemfontein Celtic","2.20
2.90
3.30"
"Mamelodi Sundowns
AmaZulu FC","1.35
4.10
8.50"
"Tshakhuma Tsha Madzivhandila FC
Baroka FC","2.90
2.70
2.60"
"Balzan FC
Floriana FC","3.70
3.60
1.75"
"Senglea Athletic
Mosta FC","4.30
3.90
1.60"
"Nea Salamina Famagusta FC
AC Omonia Nicosia","4.50
3.60
1.65"
"AEL Limassol FC
Anorthosis Famagusta FC","2.90
3.40
2.15"
"AEK Larnaca FC
Apoll. Limassol","2.75
2.80
2.65"
